Date,Price,LTH Supply,Log Price,Log Supply,Normalized Ratio
2015-08-20,235.523883109293,11332490,2.3720349529794005,1.0543253445013643,1.0059094956948966
2015-08-21,232.80061783986,11339360,2.3669841285727213,1.0545885434182585,1.01122351901847
2015-08-22,230.639173290473,11343410,2.3629330726856095,1.0547436296507071,1.0154296611380305
2015-08-23,228.673073933372,11335640,2.3592150297987073,1.054446045029092,1.0188501194033175
2015-08-24,211.955917592051,11304850,2.326245546130463,1.0532648042218942,1.0506383622643638
2015-08-25,222.655039450614,11266400,2.3476325291588,1.0517851662770086,1.0277717412911416
2015-08-26,226.116700175336,11218290,2.3543326389758588,1.0499266626098371,1.0192131278069112
2015-08-27,224.939877264757,11226650,2.3520664538386553,1.0502501833710072,1.0218028337052847
2015-08-28,232.17080829924,11248960,2.3658076133718176,1.0511123724794271,1.0089238632805424
2015-08-29,229.826200175336,11257930,2.36139953672376,1.0514585439592654,1.013678111408438
2015-08-30,229.019572472238,11254040,2.3598725996038925,1.0513084544245497,1.01505495899359
2015-08-31,230.689466101695,11253280,2.3630277639257127,1.0512791249613909,1.011870465208611
2015-09-01,227.955570426651,11253240,2.357850209286381,1.0512775812505661,1.0170464761371178
2015-09-02,229.502180709527,11259670,2.3607868165208385,1.0515256623377796,1.0143579499898738
2015-09-03,227.107121566335,11264640,2.3562307529272157,1.0517173169198812,1.0191056681655983
2015-09-04,231.177563413209,11276340,2.363945682003381,1.0521681620823005,1.0118415842518522
2015-09-05,235.903006136762,11279850,2.372733475181014,1.0523033244163458,1.0031889534082647
2015-09-06,240.805472238457,11274960,2.381666351921177,1.0521150098129612,0.9940677620647169
2015-09-07,240.6336157218,11276750,2.3813562967474287,1.052183952445182,0.9944467598706861
2015-09-08,244.174952659264,11277120,2.3877011121896388,1.0521982017920408,0.9881161937753349
2015-09-09,238.722463179427,11275770,2.377893286940841,1.0521462086726427,0.9978720259047344
2015-09-10,238.750477206312,11266490,2.377944248309652,1.0517886355615407,0.9974634914248217
2015-09-11,240.845008116891,11271980,2.3817376493228406,1.0520002095284342,0.9938816643785264
2015-09-12,236.351832176505,11316160,2.3735589732607303,1.0536990793492746,1.0037592102614772
2015-09-13,230.548837317358,11320990,2.3627629363670555,1.053884406776042,1.0147405745819194
2015-09-14,230.948793980129,11324240,2.3635156986927948,1.0540090649999485,1.0141124704800866
2015-09-15,230.398590005845,11329870,2.3624798169623085,1.054224926756023,1.0153642139666474
2015-09-16,229.043285797779,11336570,2.359917565338413,1.0544816740099807,1.0181832128445008
2015-09-17,233.202697837522,11360040,2.3677335703115547,1.05537986057823,1.0112653944396082
2015-09-18,233.175130917592,11363060,2.367682229272232,1.055495299875075,1.0114321747757757
2015-09-19,232.241568088837,11370010,2.365939955178207,1.0557608466528103,1.013439995647536
2015-09-20,231.362323787259,11376830,2.3642926376602333,1.0560212686239792,1.0153477351366786
2015-09-21,226.773447983635,11372090,2.355592203354699,1.0558402880874076,1.0238671889056414
2015-09-22,230.626304792519,11370390,2.3629088405766883,1.0557753610767553,1.0164856246729999
2015-09-23,230.132437755698,11363060,2.3619778379012426,1.055495299875075,1.0171365661467653
2015-09-24,234.319868497954,11373890,2.36980911494433,1.0559090237557813,1.009719012984384
2015-09-25,235.538221800117,11443740,2.3720613920168,1.0585679821419625,1.0101256942980954
2015-09-26,234.591814436002,11451310,2.370312854295726,1.0588551716740064,1.0121614215512134
2015-09-27,233.243309760374,11457140,2.3678091955018292,1.0590762199670298,1.0148861286381334
2015-09-28,240.017265341905,11452310,2.3802424832658673,1.0588930953281868,1.0022697162352523
2015-09-29,237.336233781414,11461290,2.375364046392894,1.0592335014317373,1.0074885592117764
2015-09-30,236.739848042081,11463100,2.374271364512328,1.059302081054914,1.0086498207155188
2015-10-01,238.229813851549,11459620,2.376996111390983,1.0591702167029842,1.0057932094849338
2015-10-02,237.937007305669,11464660,2.37646199486913,1.0593611796666245,1.0065182889704272
2015-10-03,239.735897720631,11460780,2.3797330695559675,1.0592141759357583,1.0031002105527236
2015-10-04,239.516924897721,11459730,2.3793362072285857,1.0591743854418891,1.0034572823862362
2015-10-05,240.961213833431,11459690,2.3819471422689187,1.0591728695414626,1.0008448314454768
2015-10-06,246.940498246639,11468830,2.392592320076661,1.0595191153327175,0.9905458994289895
2015-10-07,243.734486849795,11428580,2.3869169833862354,1.057992272698426,0.9946943934851236
2015-10-08,243.029632963179,11423160,2.385659230996521,1.057786259840232,0.9957461330166437
2015-10-09,244.448887492694,11425270,2.388188065093888,1.0578664720350672,0.993297511114112
2015-10-10,245.955924313267,11424730,2.3908572878247023,1.0578459452061595,0.99060776155439
2015-10-11,248.528165400351,11426760,2.395375613933751,1.0579231058465013,0.9861665960856831
2015-10-12,246.093637346581,11415750,2.39110038533632,1.0575044493489412,0.990023168185554
2015-10-13,250.471300701344,11415940,2.398757971077195,1.0575116775437496,0.9823728106394876
2015-10-14,253.142325540619,11414030,2.4033647655135657,1.0574390096898392,0.9776933483492063
2015-10-15,254.693015002922,11417110,2.4060170345306178,1.0575561853553885,0.9751582549977036
2015-10-16,262.737363237873,11423970,2.4195218371340093,1.0578170539513951,0.9619143209903187
2015-10-17,271.930938924605,11423280,2.434458622224604,1.0577908220685552,0.946951304016884
2015-10-18,263.481677381648,11422630,2.420750419591379,1.0577661094251707,0.9606347940067246
2015-10-19,264.362728229106,11418120,2.4222002251500196,1.05759460296073,0.9590134819836431
2015-10-20,270.832211864407,11418410,2.432700316597312,1.0576056331303536,0.9485244207059744
2015-10-21,268.040217708942,11413120,2.4281999620088173,1.057404383555719,0.9528235257198345
2015-10-22,275.414956458212,11411330,2.4399875210004156,1.0573362647511737,0.9409678479236909
2015-10-23,278.612778026885,11410840,2.4450010306066345,1.0573176158412616,0.9359356894075599
2015-10-24,283.61114289889,11420110,2.4527232899963343,1.0576702871114871,0.9285661012880857
2015-10-25,286.04969345412,11416240,2.4564414866891524,1.057523090237989,0.9247007077217695
2015-10-26,286.703382817066,11413860,2.4574328172231423,1.0574325412810703,0.9236188282308608
2015-10-27,295.562913793104,11411030,2.470649939379585,1.0573248471462828,0.9102940119396306
2015-10-28,304.442097019287,11253270,2.483504704731608,1.051278739034199,0.8913931384755238
2015-10-29,314.879462302747,11253090,2.4981443351380954,1.0512717922861026,0.87674656132094
2015-10-30,328.492321157218,11226730,2.5165252219383403,1.0502532780996008,0.8573471603341933
2015-10-31,314.119508182349,11215010,2.497094908804928,1.0497996651631134,0.8763238605311183
2015-11-01,329.854227644652,11231810,2.5183220546768257,1.0504497482179338,0.8557467977140409
2015-11-02,364.616627995324,11231530,2.561836470358311,1.0504389214704475,0.8122215552850693
2015-11-03,400.923105201637,11196110,2.603061085366076,1.0490671566892953,0.7696251754961523
2015-11-04,405.481681472823,11157180,2.607971238781519,1.0475544396553271,0.7632023050467409
2015-11-05,384.341222969024,11138090,2.5847169677270125,1.0468107228323769,0.7857128592782971
2015-11-06,372.975417884278,11134540,2.5716802092107858,1.046672279781528,0.798611174743675
2015-11-07,386.504550847458,11117120,2.587154611828221,1.0459922935314863,0.7824567858761982
2015-11-08,372.400129748685,11110160,2.571009823622753,1.0457203133618174,0.798329593911997
2015-11-09,380.495644360023,11051920,2.580349689644741,1.043437732588638,0.7867071471168299
2015-11-10,337.830502337814,11032500,2.5286988589678243,1.04267393611923,0.8375941813243386
2015-11-11,308.922185856225,11020200,2.489849099136482,1.0421894763767643,0.875959481413215
2015-11-12,337.522988603156,11017630,2.528303357858871,1.0420881835703897,0.8374039298844513
2015-11-13,337.278958211572,11001840,2.527989247748188,1.0414653247055143,0.8370951811302592
2015-11-14,333.047117475161,11002120,2.5225056791877467,1.041476377484645,0.8425898024698311
2015-11-15,319.928021624781,10997510,2.505052280421863,1.0412943655516371,0.8598611893027068
2015-11-16,331.132725014611,11002050,2.5200021031047113,1.0414736143162333,0.8450906153844548
2015-11-17,335.849786090006,10998520,2.526145076023249,1.0413342488784947,0.8388082770281784
2015-11-18,335.744504967855,11001930,2.5260089134281167,1.0414688774151974,0.8390790681600135
2015-11-19,326.232145528931,11002610,2.513526752344967,1.0414957191712884,0.8515880709992543
2015-11-20,321.940475452951,11002520,2.5077755810994784,1.0414921666811763,0.8573356897546307
2015-11-21,325.905231151373,11025010,2.513091331443795,1.042378992057595,0.852906764786733
2015-11-22,323.716966101695,11020890,2.5101654615009825,1.0422166676992088,0.8556703103711591
2015-11-23,323.012556341321,11026750,2.509219404819518,1.0424475283014212,0.8568472276548358
2015-11-24,319.961356527177,11032740,2.505097529381051,1.042683383619068,0.8612049584109498
