Date,MVRV-Z Score
2012-06-09,0.217221
2012-06-10,0.189139
2012-06-11,0.224382
2012-06-12,0.262504
2012-06-13,0.312415
2012-06-14,0.326923
2012-06-15,0.481049
2012-06-16,0.456114
2012-06-17,0.384847
2012-06-18,0.415854
2012-06-19,0.467369
2012-06-20,0.523904
2012-06-21,0.516153
2012-06-22,0.483099
2012-06-23,0.448754
2012-06-24,0.42092
2012-06-25,0.411772
2012-06-26,0.443383
2012-06-27,0.494725
2012-06-28,0.486386
2012-06-29,0.505426
2012-06-30,0.511121
2012-07-01,0.495206
2012-07-02,0.527552
2012-07-03,0.44275
2012-07-04,0.460644
2012-07-05,0.497152
2012-07-06,0.504894
2012-07-07,0.546273
2012-07-08,0.541272
2012-07-09,0.608292
2012-07-10,0.664903
2012-07-11,0.663952
2012-07-12,0.769515
2012-07-13,0.78681
2012-07-14,0.782133
2012-07-15,0.794669
2012-07-16,1.039328
2012-07-17,1.097263
2012-07-18,1.189612
2012-07-19,1.118373
2012-07-20,1.014332
2012-07-21,1.109749
2012-07-22,0.999241
2012-07-23,1.004465
2012-07-24,1.014496
2012-07-25,1.068137
2012-07-26,1.093228
2012-07-27,1.094029
2012-07-28,1.07621
2012-07-29,1.044586
2012-07-30,1.140805
2012-07-31,1.201057
2012-08-01,1.266644
2012-08-02,1.537177
2012-08-03,1.631426
2012-08-04,1.621365
2012-08-05,1.577811
2012-08-06,1.587629
2012-08-07,1.601788
2012-08-08,1.627084
2012-08-09,1.628421
2012-08-10,1.718812
2012-08-11,1.737637
2012-08-12,1.744275
2012-08-13,1.844103
2012-08-14,1.888285
2012-08-15,2.150641
2012-08-16,2.207753
2012-08-17,1.8001
2012-08-18,1.633748
2012-08-19,0.601137
2012-08-20,1.193048
2012-08-21,1.169465
2012-08-22,1.129314
2012-08-23,1.215273
2012-08-24,1.350319
2012-08-25,1.341334
2012-08-26,1.3267
2012-08-27,1.407534
2012-08-28,1.408656
2012-08-29,1.386318
2012-08-30,1.344455
2012-08-31,1.153168
2012-09-01,1.127322
2012-09-02,1.186675
2012-09-03,1.259449
2012-09-04,1.217919
2012-09-05,1.395168
2012-09-06,1.426693
2012-09-07,1.399146
2012-09-08,1.38544
2012-09-09,1.384547
2012-09-10,1.374149
2012-09-11,1.408808
2012-09-12,1.416104
2012-09-13,1.429106
2012-09-14,1.519002
2012-09-15,1.507656
2012-09-16,1.546213
2012-09-17,1.544724
2012-09-18,1.631479
2012-09-19,1.685543
2012-09-20,1.63329
2012-09-21,1.614757
2012-09-22,1.575242
2012-09-23,1.556622
2012-09-24,1.536026
2012-09-25,1.54732
2012-09-26,1.576879
2012-09-27,1.568778
2012-09-28,1.575098
2012-09-29,1.573884
2012-09-30,1.564152
2012-10-01,1.557606
2012-10-02,1.658884
2012-10-03,1.687019
2012-10-04,1.653031
2012-10-05,1.618159
2012-10-06,1.548184
2012-10-07,1.378848
2012-10-08,1.336961
2012-10-09,1.361081
2012-10-10,1.43105
2012-10-11,1.416428
2012-10-12,1.402506
2012-10-13,1.373311
2012-10-14,1.297966
2012-10-15,1.362018
2012-10-16,1.342434
2012-10-17,1.354352
2012-10-18,1.352092
2012-10-19,1.305253
2012-10-20,1.286972
2012-10-21,1.270748
2012-10-22,1.290118
2012-10-23,1.278815
2012-10-24,1.25637
2012-10-25,1.027724
2012-10-26,0.868962
2012-10-27,0.956074
2012-10-28,1.020978
2012-10-29,0.999539
2012-10-30,1.057684
2012-10-31,1.12831
2012-11-01,0.991384
2012-11-02,0.971306
2012-11-03,1.001796
2012-11-04,1.036587
2012-11-05,1.020967
2012-11-06,1.052432
2012-11-07,1.072008
2012-11-08,1.054567
2012-11-09,1.033572
2012-11-10,1.044651
2012-11-11,1.03735
2012-11-12,1.082837
2012-11-13,1.07144
2012-11-14,1.059594
2012-11-15,1.112309
2012-11-16,1.241479
2012-11-17,1.249129
2012-11-18,1.223455
2012-11-19,1.241391
2012-11-20,1.22531
2012-11-21,1.229491
2012-11-22,1.368192
2012-11-23,1.358962
2012-11-24,1.388658
2012-11-25,1.412287
2012-11-26,1.318617
2012-11-27,1.308741
2012-11-28,1.348003
2012-11-29,1.385664
2012-11-30,1.401958
2012-12-01,1.399448
2012-12-02,1.372094
2012-12-03,1.407012
2012-12-04,1.569432
2012-12-05,1.544957
2012-12-06,1.579004
2012-12-07,1.568875
2012-12-08,1.568984
2012-12-09,1.52409
2012-12-10,1.553898
2012-12-11,1.577216
2012-12-12,1.581472
2012-12-13,1.592091
2012-12-14,1.547844
2012-12-15,1.526343
2012-12-16,1.473176
2012-12-17,1.466931
2012-12-18,1.450459
2012-12-19,1.509031
2012-12-20,1.51052
2012-12-21,1.470875
2012-12-22,1.467152
2012-12-23,1.43757
2012-12-24,1.460733
2012-12-25,1.442763
2012-12-26,1.460622
2012-12-27,1.443821
2012-12-28,1.452966
2012-12-29,1.430575
2012-12-30,1.443896
2012-12-31,1.459866
2013-01-01,1.405578
2013-01-02,1.391002
2013-01-03,1.412159
2013-01-04,1.423569
2013-01-05,1.421899
2013-01-06,1.429228
2013-01-07,1.437538
2013-01-08,1.483553
2013-01-09,1.488481
2013-01-10,1.551487
2013-01-11,1.569108
2013-01-12,1.560976
2013-01-13,1.542861
2013-01-14,1.573996
2013-01-15,1.566199
2013-01-16,1.6497
2013-01-17,1.840629
2013-01-18,1.855444
2013-01-19,1.817328
2013-01-20,1.839682
