Date,BTC Price,Bubble Index,Google Trends,Difficulty,Transactions,Sent By Address,Tweets
2011-04-26,1.687,-28.63053763,0.633,92348,3260,4857,0
2011-04-27,1.841,-28.75049441,0.657,92348,4397,6019,0
2011-04-28,2.046,-28.22860235,0.725,92348,2871,4688,0
2011-04-29,2.546,-28.00567035,0.739,92348,3334,5267,0
2011-04-30,3.215,-27.8650336,0.981,107654,4284,6467,0
2011-05-01,3.267,-27.69337728,0.847,109670,3770,5824,0
2011-05-02,3.149,-27.33117105,0.741,109670,2898,4614,0
2011-05-03,3.305,-27.16016581,0.847,109670,2739,4693,0
2011-05-04,3.441,-27.07023537,0.636,109670,2603,4737,0
2011-05-05,3.367,-27.48576453,0.636,109670,3245,5462,0
2011-05-06,3.393,-27.43814467,0.53,109670,3072,5451,0
2011-05-07,3.546,-27.52286601,0.636,109670,3673,5806,0
2011-05-08,3.753,-26.76289622,1.165,109670,2679,4829,0
2011-05-09,3.835,-27.18948919,0.847,115464,3277,5665,0
2011-05-10,4.81,-26.30287214,0.953,157416,2968,5254,0
2011-05-11,5.65,-25.68220945,0.953,157416,2899,5182,0
2011-05-12,5.895,-25.67451899,1.165,157416,3192,5360,0
2011-05-13,7.259,-25.54933828,1.271,157416,3857,6581,0
2011-05-14,7.659,-25.5870409,1.271,157416,4172,7032,0
2011-05-15,6.995,-25.4933859,1.271,157416,3550,6352,0
2011-05-16,7.512,-25.14991371,4.661,157416,4102,7763,0
2011-05-17,7.62,-25.31502985,3.707,157416,4207,7753,0
2011-05-18,7.036,-26.31198506,2.542,162534,5293,9233,0
2011-05-19,6.756,-25.59489879,4.978,244112,4492,8217,0
2011-05-20,6.198,-26.02393506,4.237,244112,4575,8307,0
2011-05-21,5.96,-26.45536908,2.966,244112,4744,8501,0
2011-05-22,6.415,-26.50995767,2.33,244112,5030,8815,0
2011-05-23,6.92,-26.4087912,2.648,244112,5459,9347,0
2011-05-24,7.285,-26.42922885,2.436,244112,5566,9922,0
2011-05-25,7.945,-25.93472424,4.555,244112,5951,10651,0
2011-05-26,8.524,-26.37345778,2.224,277625,6671,11233,0
2011-05-27,8.6,-25.30153884,2.754,434877,4686,8197,0
2011-05-28,8.425,-25.68995639,1.907,434877,4858,8645,0
2011-05-29,8.35,-25.45660438,2.436,434877,4573,8280,0
2011-05-30,8.624,-25.73827593,2.542,434877,5183,9516,0
2011-05-31,8.771,-25.08547399,6.885,434877,5913,10273,0
2011-06-01,9.156,-25.42734387,5.508,434877,6352,11056,0
2011-06-02,10.1,-25.03763555,7.097,434877,6946,11962,0
2011-06-03,12.445,-24.92807303,6.461,434877,8239,13875,0
2011-06-04,16.501,-24.07340396,6.673,434877,8587,14910,0
2011-06-05,17.833,-23.82329542,5.826,434877,8384,14334,0
2011-06-06,17.625,-24.35467278,5.72,484311,9470,16288,0
2011-06-07,21.092,-23.47743785,4.661,567270,8832,14875,0
2011-06-08,26.8,-22.95069638,7.627,567270,11630,19582,0
2011-06-09,29.415,-22.77451888,7.309,567270,11954,20704,0
