Date,VOCD,Reserve Risk Index,HODL Bank,MVOCD
2018-01-16,12057.96845893,0.01936398,590325.04523874,14712.46502506
2018-01-17,17770.39317145,0.01901864,586772.18880427,14712.46502506
2018-01-18,5689.79046623,0.01925075,584186.96670662,13831.26182793
2018-01-19,7674.94675070,0.01962665,582893.98282400,12733.23944428
2018-01-20,6802.22469087,0.02189550,583151.86633382,12510.52107579
2018-01-21,5542.35611183,0.01959712,582860.75488403,11713.50570870
2018-01-22,10311.19113216,0.01843246,582524.10197648,11074.00348499
2018-01-23,7204.05584235,0.01862071,582651.74195545,10721.75190034
2018-01-24,5476.56169392,0.01925025,583155.88622986,10721.75190034
2018-01-25,6119.91953224,0.01906559,583798.48571660,10487.86546067
2018-01-26,10868.04813259,0.01888530,584346.17486581,10487.86546067
2018-01-27,4795.41632617,0.01934616,585179.27959041,10487.86546067
2018-01-28,12274.22017046,0.01981206,586307.37284103,10487.86546067
2018-01-29,5391.93589276,0.01895299,587377.25994571,10062.66720917
2018-01-30,5716.83206189,0.01693874,587974.52624859,9362.28041249
2018-01-31,8761.43386651,0.01707277,588662.34163329,9362.28041249
2018-02-01,12108.20704728,0.01536504,588339.92629590,9362.28041249
2018-02-02,7914.14646258,0.01493494,588290.07797314,8835.92570266
2018-02-03,4481.82757321,0.01551088,588754.52766514,8667.65063032
2018-02-04,46025.81312605,0.01402346,588337.40393079,8667.65063032
2018-02-05,15893.97410478,0.01167829,586519.29585980,8667.65063032
2018-02-06,16427.50258110,0.01321512,585590.28918915,8667.65063032
2018-02-07,4458.50658130,0.01304359,584547.23394837,8667.65063032
2018-02-08,14013.39458739,0.01407055,584098.16416989,8667.65063032
2018-02-09,2842.51455259,0.01481649,584514.61070939,8244.00692836
2018-02-10,2896.56068565,0.01457546,585250.35690754,7794.54660664
2018-02-11,4402.84091338,0.01381912,585907.58409231,7439.50129653
2018-02-12,4556.02931055,0.01515394,587812.11400484,7003.14026661
2018-02-13,2377.02527694,0.01445046,589875.00882519,6461.07211156
2018-02-14,3462.51219154,0.01596829,592881.23774637,6461.07211156
2018-02-15,6283.12613535,0.01693526,596786.44799615,6201.52283380
2018-02-16,4618.00087520,0.01695232,601057.38868243,5918.37579706
2018-02-17,2214.04569022,0.01828629,606224.61129975,5918.37579706
2018-02-18,4206.20123044,0.01710521,611047.10919009,5629.59408686
2018-02-19,2884.31460825,0.01806352,616677.00601778,5509.45890288
2018-02-20,7041.42768865,0.01807080,622326.24145782,5596.69687791
2018-02-21,4042.44605217,0.01667148,627350.85775331,5434.24879334
2018-02-22,44053.47458231,0.01563508,631794.76790269,5434.24879334
2018-02-23,4527.29286206,0.01595180,636860.15740573,5093.67610947
2018-02-24,3479.39186330,0.01509192,641840.05058500,4706.70860068
2018-02-25,2506.02726760,0.01484600,646856.26296962,4587.01509287
2018-02-26,2864.74963098,0.01580132,652626.96759635,4541.66108631
2018-02-27,3918.17972368,0.01617257,658776.51467357,4504.56021764
2018-02-28,9820.67004311,0.01550910,664578.97942233,4504.56021764
2018-03-01,5326.24324299,0.01627968,670998.05006647,4504.56021764
2018-03-02,3347.38335997,0.01625591,677541.94145649,4470.16707725
2018-03-03,3643.27759750,0.01669111,684536.94827461,4430.67374734
2018-03-04,3204.99038340,0.01657173,691695.01040024,4304.52107191
2018-03-05,5335.60297875,0.01651187,698931.15164890,4304.52107191
2018-03-06,3635.52990156,0.01513434,705483.86323846,4124.32364131
2018-03-07,3464.29765043,0.01392043,711406.63539962,3980.31288793
2018-03-08,2277.56236980,0.01301401,716956.38219199,3780.72866059
2018-03-09,5806.12775017,0.01284254,722453.79271580,3780.72866059
2018-03-10,2212.60486660,0.01207607,727600.94938941,3639.40374953
2018-03-11,4184.55647558,0.01297300,733333.75612859,3780.72866059
2018-03-12,2798.13478200,0.01238375,738700.91764860,3780.72866059
2018-03-13,3691.03919475,0.01230934,744194.30218526,3667.15839612
2018-03-14,2376.92469583,0.01098074,748777.02567478,3639.40374953
2018-03-15,3303.47961858,0.01097494,753406.21104769,3639.40374953
2018-03-16,3786.05802264,0.01104963,758115.95714982,3667.15839612
2018-03-17,2394.34506057,0.01033853,762358.21532080,3639.40374953
2018-03-18,2755.61967158,0.01067683,766989.77115754,3557.46088243
2018-03-19,2683.01046313,0.01105875,771969.32589843,3557.46088243
2018-03-20,1992.65082839,0.01144279,777393.02832070,3471.84475687
2018-03-21,2890.40114746,0.01134336,782800.77782041,3471.84475687
2018-03-22,2880.99783234,0.01105266,788105.60225033,3405.84050520
2018-03-23,1708.46141724,0.01105378,793551.91708455,3325.43148928
2018-03-24,2486.66297700,0.01077844,798908.67059992,3254.23500099
2018-03-25,2466.75616701,0.01049434,804301.58575705,3047.69576543
2018-03-26,2919.48125596,0.01009327,809567.82890981,2904.94120171
2018-03-27,1981.81882142,0.00962218,814500.15302751,2904.94120171
2018-03-28,1993.74467310,0.00968074,819528.85455549,2904.94120171
2018-03-29,3582.71148299,0.00862971,823732.48416705,2904.94120171
2018-03-30,2645.71015208,0.00825459,827678.93374349,2885.69948990
2018-03-31,1921.92716876,0.00832243,831761.64873322,2839.56630717
2018-04-01,2141.84323507,0.00814144,835789.29638574,2776.87722679
2018-04-02,1453.00124845,0.00837190,840103.24092797,2719.31506736
